Id,SalePrice
2658,-25577649.131045375
2718,-32933706.884153362
2414,-37212669.02732898
1989,-25595880.2877963
625,-29561923.525532965
333,-10669961.963922549
1327,-23383713.414349873
858,-25635561.183204304
95,-17809624.35346979
1568,-29317264.793959904
2482,-24660677.31457596
1364,-21989909.201534808
2584,-31658580.100932404
818,-28446009.73487269
2673,-27028241.791380417
2089,-20475611.37131473
1297,-32673760.70627364
790,-26346599.31974707
2616,-30338520.93933639
720,-38854680.767912455
222,-23227316.595669776
557,-28240405.493185963
1148,-28188340.542371023
2766,-47432588.13014912
534,-29691890.72888775
1452,-21729508.300841246
630,-29618444.156275835
2648,-21807571.937783334
125,-26176225.03880447
1904,-9511478.052285414
1670,-25827944.8537354
756,-21748445.799261805
717,-35221742.40720203
1032,-28553211.761332445
852,-33751386.52368719
1731,-31003580.036676485
2639,-17454594.128352206
2071,-22718323.20656148
1267,-22313156.100577485
1851,-27127440.70171078
567,-17059155.568001214
2439,-28774763.253587674
1898,-26047110.09047423
647,-33581531.78350647
2256,-21131925.608240653
979,-6781990.63049008
1444,-30865466.834332924
2485,-22035514.409491207
157,-19304223.238747384
88,-22447893.255004805
2003,-23043413.421088777
186,-24839591.86104254
1425,-34260623.87296865
2695,-20356300.52456043
738,-17656832.142967533
395,-24563897.707097802
1353,-23694070.18526486
1878,-27756560.11311501
390,-31085903.96703629
1456,-32312628.72961492
1103,-40424259.146836765
1387,-33150565.504318252
2070,-32959026.616099007
1199,-32257644.59543586
2479,-22175172.918309275
501,-37672367.35545837
2362,-19192935.201470893
1718,-21435213.846358985
2188,-11580323.036401354
1483,-17999437.788636353
2557,-20472915.275794886
437,-53105099.56289534
2224,-56919678.7200917
1628,-25879854.76151943
397,-24460349.619989857
587,-43952764.76967124
971,-42186865.43509462
2611,-25593254.65361828
1887,-19724824.330093354
2399,-43279588.11641615
2148,-28759247.78190553
304,-26737865.2368338
1997,-14298656.899519261
2817,-24879328.944236126
1431,-31934808.577751566
427,-47559149.797521405
263,-23792084.573694877
598,-40050978.423112124
2895,-42363645.38258027
687,-25397973.298402127
1822,-22097421.45353031
2191,-27747116.919776075
179,-19336946.44144468
1009,-20534185.51013355
2010,-17451084.879587676
1991,-25197618.39022447
